266,Aatrox,Fighter,Aatrox.png,8,4,3,4
103,Ahri,Mage,Ahri.png,3,4,8,5
84,Akali,Assassin,Akali.png,5,3,8,7
12,Alistar,Tank,Alistar.png,6,9,5,7
32,Amumu,Tank,Amumu.png,2,6,8,3
34,Anivia,Mage,Anivia.png,1,4,10,10
1,Annie,Mage,Annie.png,2,3,10,6
523,Aphelios,Marksman,Aphelios.png,6,2,1,10
22,Ashe,Marksman,Ashe.png,7,3,2,4
136,Aurelion Sol,Mage,AurelionSol.png,2,3,8,7
268,Azir,Mage,Azir.png,6,3,8,9
432,Bardo,Support,Bard.png,4,4,5,9
53,Blitzcrank,Tank,Blitzcrank.png,4,8,5,4
63,Brand,Mage,Brand.png,2,2,9,4
201,Braum,Support,Braum.png,3,9,4,3
51,Caitlyn,Marksman,Caitlyn.png,8,2,2,6
164,Camille,Fighter,Camille.png,8,6,3,4
69,Cassiopeia,Mage,Cassiopeia.png,2,3,9,10
31,Cho'Gath,Tank,Chogath.png,3,7,7,5
42,Corki,Marksman,Corki.png,8,3,6,6
122,Darius,Fighter,Darius.png,9,5,1,2
131,Diana,Fighter,Diana.png,7,6,8,4
119,Draven,Marksman,Draven.png,9,3,1,8
36,Dr. Mundo,Fighter,DrMundo.png,5,7,6,5
245,Ekko,Assassin,Ekko.png,5,3,7,8
60,Elise,Mage,Elise.png,6,5,7,9
28,Evelynn,Assassin,Evelynn.png,4,2,7,10
81,Ezreal,Marksman,Ezreal.png,7,2,6,7
9,Fiddlesticks,Mage,Fiddlesticks.png,2,3,9,9
114,Fiora,Fighter,Fiora.png,10,4,2,3
105,Fizz,Assassin,Fizz.png,6,4,7,6
3,Galio,Tank,Galio.png,1,10,6,5
41,Gangplank,Fighter,Gangplank.png,7,6,4,9
86,Garen,Fighter,Garen.png,7,7,1,5
150,Gnar,Fighter,Gnar.png,6,5,5,8
79,Gragas,Fighter,Gragas.png,4,7,6,5
104,Graves,Marksman,Graves.png,8,5,3,3
120,Hecarim,Fighter,Hecarim.png,8,6,4,6
74,Heimerdinger,Mage,Heimerdinger.png,2,6,8,8
420,Illaoi,Fighter,Illaoi.png,8,6,3,4
39,Irelia,Fighter,Irelia.png,7,4,5,5
427,Ivern,Support,Ivern.png,3,5,7,7
40,Janna,Support,Janna.png,3,5,7,7
59,Jarvan IV,Tank,JarvanIV.png,6,8,3,5
24,Jax,Fighter,Jax.png,7,5,7,5
126,Jayce,Fighter,Jayce.png,8,4,3,7
202,Jhin,Marksman,Jhin.png,10,2,6,6
222,Jinx,Marksman,Jinx.png,9,2,4,6
145,Kai'Sa,Marksman,Kaisa.png,8,5,3,6
429,Kalista,Marksman,Kalista.png,8,2,4,7
43,Karma,Mage,Karma.png,1,7,8,5
30,Karthus,Mage,Karthus.png,2,2,10,7
38,Kassadin,Assassin,Kassadin.png,3,5,8,8
55,Katarina,Assassin,Katarina.png,4,3,9,8
10,Kayle,Fighter,Kayle.png,6,6,7,7
141,Kayn,Fighter,Kayn.png,10,6,1,8
85,Kennen,Mage,Kennen.png,6,4,7,4
121,Kha'Zix,Assassin,Khazix.png,9,4,3,6
203,Kindred,Marksman,Kindred.png,8,2,2,4
240,Kled,Fighter,Kled.png,8,2,2,7
96,Kog'Maw,Marksman,KogMaw.png,8,2,5,6
7,LeBlanc,Assassin,Leblanc.png,1,4,10,9
64,Lee Sin,Fighter,LeeSin.png,8,5,3,6
89,Leona,Tank,Leona.png,4,8,3,4
876,Lillia,Fighter,Lillia.png,0,2,10,8
127,Lissandra,Mage,Lissandra.png,2,5,8,6
236,Lucian,Marksman,Lucian.png,8,5,3,6
117,Lulu,Support,Lulu.png,4,5,7,5
99,Lux,Mage,Lux.png,2,4,9,5
54,Malphite,Tank,Malphite.png,5,9,7,2
90,Malzahar,Mage,Malzahar.png,2,2,9,6
57,Maokai,Tank,Maokai.png,3,8,6,3
11,Maestro Yi,Assassin,MasterYi.png,10,4,2,4
21,Miss Fortune,Marksman,MissFortune.png,8,2,5,1
62,Wukong,Fighter,MonkeyKing.png,8,5,2,3
82,Mordekaiser,Fighter,Mordekaiser.png,4,6,7,4
25,Morgana,Mage,Morgana.png,1,6,8,1
267,Nami,Support,Nami.png,4,3,7,5
75,Nasus,Fighter,Nasus.png,7,5,6,6
111,Nautilus,Tank,Nautilus.png,4,6,6,6
518,Neeko,Mage,Neeko.png,1,1,9,5
76,Nidalee,Assassin,Nidalee.png,5,4,7,8
56,Nocturne,Assassin,Nocturne.png,9,5,2,4
20,Nunu y Willump,Tank,Nunu.png,4,6,7,4
2,Olaf,Fighter,Olaf.png,9,5,3,3
61,Orianna,Mage,Orianna.png,4,3,9,7
516,Ornn,Tank,Ornn.png,5,9,3,5
80,Pantheon,Fighter,Pantheon.png,9,4,3,4
78,Poppy,Tank,Poppy.png,6,7,2,6
555,Pyke,Support,Pyke.png,9,3,1,7
246,Qiyana,Assassin,Qiyana.png,0,2,4,8
133,Quinn,Marksman,Quinn.png,9,4,2,5
497,Rakan,Support,Rakan.png,2,4,8,5
33,Rammus,Tank,Rammus.png,4,10,5,5
421,Rek'Sai,Fighter,RekSai.png,8,5,2,3
526,Rell,Tank,Rell.png,0,0,0,0
58,Renekton,Fighter,Renekton.png,8,5,2,3
107,Rengar,Assassin,Rengar.png,7,4,2,8
92,Riven,Fighter,Riven.png,8,5,1,8
68,Rumble,Fighter,Rumble.png,3,6,8,10
13,Ryze,Mage,Ryze.png,2,2,10,7
360,Samira,Marksman,Samira.png,8,5,3,6
113,Sejuani,Tank,Sejuani.png,5,7,6,4
235,Senna,Marksman,Senna.png,7,2,6,7
147,Seraphine,Mage,Seraphine.png,0,0,0,0
875,Sett,Fighter,Sett.png,8,5,1,2
35,Shaco,Assassin,Shaco.png,8,4,6,9
98,Shen,Tank,Shen.png,3,9,3,4
102,Shyvana,Fighter,Shyvana.png,8,6,3,4
27,Singed,Tank,Singed.png,4,8,7,5
14,Sion,Tank,Sion.png,5,9,3,5
15,Sivir,Marksman,Sivir.png,9,3,1,4
72,Skarner,Fighter,Skarner.png,7,6,5,5
37,Sona,Support,Sona.png,5,2,8,4
16,Soraka,Support,Soraka.png,2,5,7,3
50,Swain,Mage,Swain.png,2,6,9,8
517,Sylas,Mage,Sylas.png,3,4,8,5
134,Syndra,Mage,Syndra.png,2,3,9,8
223,Tahm Kench,Support,TahmKench.png,3,9,6,5
163,Taliyah,Mage,Taliyah.png,1,7,8,5
91,Talon,Assassin,Talon.png,9,3,1,7
44,Taric,Support,Taric.png,4,8,5,3
17,Teemo,Marksman,Teemo.png,5,3,7,6
412,Thresh,Support,Thresh.png,5,6,6,7
18,Tristana,Marksman,Tristana.png,9,3,5,4
48,Trundle,Fighter,Trundle.png,7,6,2,5
23,Tryndamere,Fighter,Tryndamere.png,10,5,2,5
4,Twisted Fate,Mage,TwistedFate.png,6,2,6,9
29,Twitch,Marksman,Twitch.png,9,2,3,6
77,Udyr,Fighter,Udyr.png,8,7,4,7
6,Urgot,Fighter,Urgot.png,8,5,3,8
110,Varus,Marksman,Varus.png,7,3,4,2
67,Vayne,Marksman,Vayne.png,10,1,1,8
45,Veigar,Mage,Veigar.png,2,2,10,7
161,Vel'Koz,Mage,Velkoz.png,2,2,10,8
254,Vi,Fighter,Vi.png,8,5,3,4
234,Viego,Assassin,Viego.png,6,4,2,5
112,Viktor,Mage,Viktor.png,2,4,10,9
8,Vladimir,Mage,Vladimir.png,2,6,8,7
106,Volibear,Fighter,Volibear.png,7,7,4,3
19,Warwick,Fighter,Warwick.png,9,5,3,3
498,Xayah,Marksman,Xayah.png,10,6,1,5
101,Xerath,Mage,Xerath.png,1,3,10,8
5,Xin Zhao,Fighter,XinZhao.png,8,6,3,2
157,Yasuo,Fighter,Yasuo.png,8,4,4,10
777,Yone,Assassin,Yone.png,8,4,4,8
83,Yorick,Fighter,Yorick.png,6,6,4,6
350,Yuumi,Support,Yuumi.png,5,1,8,2
154,Zac,Tank,Zac.png,3,7,7,8
238,Zed,Assassin,Zed.png,9,2,1,7
115,Ziggs,Mage,Ziggs.png,2,4,9,4
26,Zilean,Support,Zilean.png,2,5,8,6
142,Zoe,Mage,Zoe.png,1,7,8,5
143,Zyra,Mage,Zyra.png,4,3,8,7
